year,month,num_trades,win_rate,avg_pnl_pct
2020,1,39,0.6153846153846154,-0.02167855035597108
2020,2,34,0.6764705882352942,0.006025492171134974
2020,3,33,0.6363636363636364,-0.9292277527882887
2020,4,32,0.59375,-0.7769124179351452
2020,5,40,0.625,0.4893269978186324
2020,6,33,0.6666666666666666,0.09953549363347877
2020,7,36,0.6666666666666666,-0.12268144719914292
2020,8,30,0.6333333333333333,0.38850876633478454
2020,9,37,0.7027027027027027,0.17618258243293147
2020,10,39,0.6666666666666666,0.10839409720912663
2020,11,32,0.59375,-0.09658285750736641
2020,12,32,0.6875,-0.19888839847057732
2021,1,44,0.7272727272727273,0.807172488223247
2021,2,36,0.6666666666666666,-0.289285664200737
2021,3,45,0.6666666666666666,0.23156362600970723
2021,4,37,0.6486486486486487,-0.25094711541471687
2021,5,38,0.47368421052631576,-0.12816846092467443
2021,6,39,0.5897435897435898,-0.411999445410937
2021,7,36,0.6111111111111112,-0.3411479479237677
2021,8,45,0.5555555555555556,-0.057561180303984834
2021,9,35,0.6571428571428571,0.09454386335877414
2021,10,38,0.6052631578947368,0.01997492108506971
2021,11,31,0.5806451612903226,-0.37507792424287656
2021,12,38,0.7368421052631579,0.05494821167058765
2022,1,36,0.6666666666666666,0.14850147012114034
2022,2,35,0.6857142857142857,-0.5023601762396817
2022,3,43,0.7209302325581395,0.23147871252198352
2022,4,41,0.6829268292682927,0.0736142873831436
2022,5,43,0.6511627906976745,0.43502181420363173
2022,6,35,0.5142857142857142,-0.7416517072135934
2022,7,43,0.5813953488372093,0.04786402884723694
2022,8,43,0.7441860465116279,0.167897731472722
2022,9,32,0.6875,-0.2913207687653894
2022,10,37,0.7567567567567568,0.16005352040201687
2022,11,40,0.65,0.3051060418580088
2022,12,40,0.7,0.110784339755103
2023,1,36,0.6388888888888888,-0.26930843862065507
2023,2,40,0.775,0.09405082287595541
2023,3,40,0.6,-0.393822963231642
2023,4,37,0.6216216216216216,-0.1627125423359479
2023,5,39,0.5897435897435898,0.08761956960326847
2023,6,36,0.6666666666666666,-0.13568820263523784
2023,7,37,0.7567567567567568,0.0929877303039637
2023,8,35,0.7714285714285715,-0.22368362150159582
2023,9,30,0.6333333333333333,-0.013686927068992402
2023,10,36,0.6111111111111112,-0.04037444874575388
2023,11,33,0.6060606060606061,0.0482205857644758
2023,12,36,0.5555555555555556,-0.1948322991938373
2024,1,34,0.6470588235294118,-0.18803160953530798
2024,2,34,0.6764705882352942,-0.3274476254384384
2024,3,38,0.5,-0.0795603985923451
2024,4,32,0.59375,-0.37322460711929856
2024,5,34,0.6764705882352942,-0.11864183394283001
2024,6,32,0.6875,-0.09587868768101332
2024,7,41,0.5853658536585366,-0.2260397305583404
2024,8,30,0.43333333333333335,-0.6103667670580932
2024,9,32,0.59375,-0.04336838768141603
2024,10,40,0.725,0.21430851004807364
2024,11,40,0.8,0.10909754041582816
2024,12,37,0.6756756756756757,0.009574841586418357
2025,1,45,0.7333333333333333,0.10000227304713256
2025,2,42,0.7619047619047619,0.18442711477349047
2025,3,42,0.6904761904761905,0.07572241975097482
2025,4,34,0.7058823529411765,0.03688417961149906
2025,5,37,0.6486486486486487,0.2135558959823758
2025,6,37,0.6756756756756757,0.04358117844436399
2025,7,27,0.5925925925925926,-0.08767685849846896
